persons,weight,height,gender
person1,92.2445889841765,182.000744945835,F
person2,79.8850586637855,199.031132040545,F
person3,65.5903067067266,180.847714091651,F
person4,92.8903334774077,190.053740092553,F
person5,95.316689889878,198.946779500693,M
person6,83.461117176339,184.001802965067,F
person7,79.3135799653828,186.535728303716,F
person8,73.7613762822002,191.413304421585,M
person9,64.094318812713,180.493018981069,M
person10,82.6269358210266,183.999649982434,M
person11,62.0669982116669,185.854739497881,M
person12,93.1356568541378,191.46354555618,F
person13,62.3821142595261,195.442929796409,M
person14,60.6384850293398,186.175768771209,M
person15,72.5295891612768,183.931629385334,F
person16,64.3713351152837,179.263723306358,M
person17,81.7570533696562,175.898640269879,M
person18,86.5653726458549,184.558757743798,F
person19,76.4671287965029,195.541988930199,M
person20,99.7646639309824,194.760783149395,M
person21,69.1163686756045,189.763262856286,M
person22,68.5083184577525,171.757073733024,M
person23,75.9144261665642,179.486230006441,M
person24,98.6779202427715,186.574846303556,M
person25,80.1601610891521,196.696135178208,M
person26,87.0112021546811,174.808682217263,F
